,Site Name,counts,latitude,longitude
187,Houser's Mill Road MSWLF,3,32.57167,-83.76056
188,"Stephens County SR 145, Phases 2 & 3 MSWL",3,34.54028,-83.30917
189,Wilkes County-CR 40 MSWL,3,33.69528,-82.73778
190,Vopak Terminal Savannah,3,32.11667,-81.13333
191,Parker Hannifin Corp./Abex NWL Div.,3,32.51639,-82.94444
192,Greene County - US 278 West MSWL,3,33.61417,-83.10222
193,"Jackson County - SR 82 North, Phase II MSWL",3,34.145,-83.55056
194,Rabun Co. - Eastman Mountain Road Landfill,3,34.80972,-83.40972
195,Savannah Dry Cleaners,3,32.03694,-81.08972
196,Transco Railcar Facility (Former),3,32.82611,-83.6275
197,Flags Village Shopping Center,3,33.77778,-84.56583
198,Roswell Station,3,34.00528,-84.39056
199,"United Technologies Automotive, Inc.",3,33.45028,-82.53889
200,Brown Steel Contractors - Broad Street Facility,3,33.37333,-84.7975
201,"Southern Motors of Savannah, Inc.",3,31.98972,-81.12972
202,Elbert County Landfill,3,34.135,-82.78083
203,Liberty County - Limerick Road MSWLF,3,31.84278,-81.39611
204,Speedway SR 324 Landfill,2,33.96889,-83.77333
205,4th Street Landfill (Brunswick Airport),2,31.18583,-81.47722
206,Cordele-Crisp City-County Landfill,2,31.86528,-83.75167
207,"Forstmann & Company, Inc. (TCE spill)",2,32.53472,-82.87972
208,Mathis Brothers - South Marbletop Road Landfill - NPL Site,2,34.79722,-85.37778
209,Laurens County Municipal Solid Waste Landfill,2,32.56083,-82.99306
210,Spalding County - Yamacraw Road MSWL,2,33.2575,-84.15944
211,Lowndes County-State Road 31 MSWL,2,30.67639,-83.3225
212,"Ware County-US 82, Waresboro MSWL",2,31.27111,-82.46972
213,LaGrange - Municipal Solid Waste Landfill,2,33.0475,-84.95583
214,Calhoun - Harris Rd. Phase 4 (L),2,34.49167,-84.99361
215,Orkin Pest Control,2,32.46278,-84.93
216,Lumpkin Co. - Barlow  Rd. MSWL,2,34.52444,-83.99917
217,Circle K Store #5259,2,33.96472,-84.41472
218,Georgia Air National Guard/Savannah/Site 8,2,32.12972,-81.18583
219,Cherokee Shopping Center,2,33.44,-82.02389
220,Berrien County Landfill,2,31.12778,-83.23861
221,Quitman - SR 333 Landfill,2,30.75194,-83.5475
222,Douglas County Landfill - Cedar Mt/Worthan Rd Phase 1,2,33.76556,-84.81083
223,Blakely - Howell Street / Pit Road MSWLF,2,31.40056,-84.92889
224,Fannin County Landfill,2,34.89861,-84.34972
225,Haralson County Landfill (US 78 Bremen),2,33.69917,-85.22944
226,Lee County - SR 32 MSWLF,2,31.73306,-84.12028
227,McIntosh County - King Road MSWLF,2,31.51333,-81.4825
228,Tifton - Omega / Eldorado Road MSWLF,2,31.3575,-83.53667
229,Durand MSW Landfill,2,32.96583,-84.78056
230,Sumter County Landfill,2,32.06528,-84.27778
231,Ram Leather Care,2,33.66583,-84.03694
232,MENA Rockmart Facility,2,34.01389,-85.06389
233,"Polymer Specialties, Inc.",2,34.98111,-85.435
234,"Amercord, Inc.",2,31.92444,-82.68278
235,"B & M Wood Products, Inc.",2,31.12694,-82.58306
236,Southside Cleaners,2,31.97361,-81.13306
237,"Stewart County Landfill, CR 145 S Ph 2 (SL)",2,32.0375,-84.77722
238,Calhoun County SR 45 Morgan (SL),2,31.535,-84.65
239,Harris County Hamilton Road E MSWL,2,32.74444,-84.81278
240,"Coastal Concrete, Inc.",2,32.08194,-81.12778
241,431 Vine Street (assoc. with Westside Lead NPL Site),2,33.76639,-84.40722
242,Glynco Naval Air Station (Cotton Court Property),2,31.25194,-81.45222
243,"DOT Sales and Supplies, Inc.",2,33.66722,-84.03944
244,Brown and Brown Wrecker Service,2,33.89833,-84.285
245,US Cleaners,2,34.06833,-84.52056
246,Milliken & Company,2,34.54639,-83.40139
247,Stevens Industries,2,31.77944,-84.45194
248,General Tire - Aldora Plant,2,33.05306,-84.17694
249,Barlow Creosote,2,31.05778,-82.6425
250,Floyd County - Berryhill Road Sanitary Landfill,1,34.30889,-85.27778
251,Randolph County Brooksville Road Ph 1 MSWL,1,31.79611,-84.75056
252,Decatur County SR 309 MSWL,1,30.83694,-84.56778
253,Paper Mill Road Undeveloped Tract,1,33.9525,-83.96278
254,Proctor Square Cleaners,1,34.00083,-84.14278
255,City of Waycross Blackwell Road Landfill,1,31.195,-82.34806
256,Spears Mattress Company,1,34.23861,-85.17361
257,110 North Main Street,1,31.18139,-83.78861
258,Avalon Plant,1,34.50694,-83.21889
259,Joy Dry Cleaners/Lee's Shopping Center,1,31.82667,-81.61972
260,Pike County - County Farm Road MSWL,1,33.12111,-84.36472
261,East Coast Asphalt,1,31.22333,-82.36861
262,Noble Cleaners (Former),1,33.97028,-84.53444
263,"AAA Asphalt Products, Inc.",1,32.68222,-83.70722
264,Piedmont Paints and Primer (Former),1,34.53639,-83.30111
265,Hercules 009 Landfill - NPL Site,1,31.20944,-81.48806
266,Powersville Landfill - Former NPL Site,1,32.61,-83.79333
267,Williams-Mesena Road Landfill,1,33.45806,-82.54306
268,Baxley Creosoting Company,1,31.77472,-82.33639
269,Mt Airy Wood Preserving Company,1,34.53083,-83.47167
270,Rockbridge Square Shopping Center,1,33.84139,-84.1325
271,Travis Field/Savannah International Airport,1,32.11611,-81.19056
272,Cedartown Municipal Landfill - Former NPL Site,1,34.01472,-85.2875
273,U.S. Army - Fort Benning (FBSB-86),1,32.36389,-84.97972
274,Phibro-Tech (fka C P Chemicals),1,33.85306,-84.65056
275,York Casket Hardware (fka Piedmont Metals),1,33.96472,-84.00028
276,Macon Naval Ordnance Landfill (Former) - NPL Site,1,32.76917,-83.64694
277,Murrow Brothers Delinting Waste,1,33.77972,-83.425
278,Pickens Co.  - Jones Mountain Road Westside MSWLF,1,34.54167,-84.47528
279,Terrell County - U. S. 82 MSWLF,1,31.74139,-84.41944
280,Towns County - SR 288 MSWLF,1,34.92722,-83.74639
281,Junction Cleaners,1,34.015,-84.49528
282,Union County MSW Landfill,1,34.89333,-83.95972
283,Alma - Radio Station Road MSWLF,1,31.52028,-82.43472
284,Johnson County - SR 15 Wrightsville Ph 2 (SL) MSWLF,1,32.68194,-82.71
285,Taylor's Dry Cleaning (assoc. with Peach Orchard NPL),1,33.42028,-82.01944
286,Klemic Property / Augusta Ordnance Depot (Former),1,33.46,-82.00194
287,Vantran Electric,1,32.99139,-82.38556
288,Cork's Fabricare,1,31.22333,-81.47833
289,Jack's Cleaners,1,34.04056,-84.4775
290,Ben Hill County - Joshlyn Road MSWL,1,31.74333,-83.20667
291,Polk County Landfill,1,34.00694,-85.16472
292,Palmetto Tire Fire,1,33.51,-84.72472
293,Cedartown Industries - NPL Site,1,34.00889,-85.26444
294,Bumper Distributors of Atlanta,1,33.74333,-84.40889
295,"Truman Parkway, Phase II",1,32.06944,-81.07472
296,Hightower Road  MSW Landfill - Phase 2,1,34.32972,-84.25639
297,Statesboro/Bulloch County Lakeview Rd. Landfill,1,32.48083,-81.78972
298,Clayton Co. SR3- Lovejoy Site #2 MSWL,1,33.43861,-84.30667
299,"Hunter Army Airfield, Fire Training Area",1,32.01444,-81.14417
