,Site Name,counts,latitude,longitude
149,"Pennington Seed, Inc. Warehouse (Former)",2,32.21083,-82.39
150,"B & M Wood Products, Inc.",2,31.12694,-82.58306
151,Southside Cleaners,2,31.97361,-81.13306
152,Richmond County - Dean's Bridge Road,2,33.35,-82.13694
153,Calhoun County SR 45 Morgan (SL),2,31.535,-84.65
154,Walker County Marble Top Road MSWL,2,34.83528,-85.365
155,Schley County CR 65 MSWL,2,32.24806,-84.23056
156,Lincoln County - CR 121/Prater Landfill,2,33.8225,-82.46333
157,Rose City Cleaners (Former),2,30.83889,-83.98278
158,Glynco Naval Air Station (Cotton Court Property),2,31.25194,-81.45222
159,"Amrep, Inc. - Cartersville (Former)",2,34.155,-84.79167
160,Guardian Automotive Corporation (dba SRG Global Covington),2,33.61278,-83.835
161,Dow Chemical - Dalton Site,2,34.63278,-84.92806
162,General Electric Company,2,34.28139,-85.22333
163,Univar USA Inc.,2,33.91333,-84.22861
164,Bonnell Aluminum,2,33.38194,-84.81667
165,"U.S. Naval Submarine Base, Kings Bay",2,30.81194,-81.57028
166,Alco Controls,2,31.86556,-82.5925
167,Amoco Fabrics & Fibers - Hazlehurst Mills,2,31.86444,-82.59111
168,Barlow Creosote,2,31.05778,-82.6425
169,Griffith Oil Company,2,34.06111,-83.54722
170,4th Street Landfill (Brunswick Airport),2,31.18583,-81.47722
171,Button Gwinnett Landfill,2,33.92333,-84.04639
172,Cordele-Crisp City-County Landfill,2,31.86528,-83.75167
173,Coweta County Landfill - Ishman Ballard Rd Phase 1A,2,33.36889,-84.85667
174,Atlanta Gas Light Company - Griffin MGP Site,2,33.24389,-84.26833
175,Floyd County - Berryhill Road Sanitary Landfill,1,34.30889,-85.27778
176,"Stewart County Landfill, CR 145 S Ph 2 (SL)",1,32.0375,-84.77722
177,Paulding County - Gulledge Road MSWL,1,34.02,-84.80083
178,Harris County Hamilton Road E MSWL,1,32.74444,-84.81278
179,Randolph County Brooksville Road Ph 1 MSWL,1,31.79611,-84.75056
180,Decatur County SR 309 MSWL,1,30.83694,-84.56778
181,Paper Mill Road Undeveloped Tract,1,33.9525,-83.96278
182,"Coastal Concrete, Inc.",1,32.08194,-81.12778
183,W.F. Taylor Co. Inc.,1,34.68861,-84.98944
184,431 Vine Street (assoc. with Westside Lead NPL Site),1,33.76639,-84.40722
185,City of Waycross Blackwell Road Landfill,1,31.195,-82.34806
186,Spears Mattress Company,1,34.23861,-85.17361
187,Roper Pump Company,1,34.21472,-83.4825
188,Hunter Army Airfield/TCE Plume,1,32.01444,-81.14417
189,"DOT Sales and Supplies, Inc.",1,33.66722,-84.03944
190,Westside Cleaners (former),1,33.935,-84.55667
191,Brown and Brown Wrecker Service,1,33.89833,-84.285
192,Hercules 009 Landfill - NPL Site,1,31.20944,-81.48806
193,Trane Technologies Co.- Sylvania (fka Ingersoll/Torrington/Timken)),1,32.75806,-81.61917
194,Williams-Mesena Road Landfill,1,33.45806,-82.54306
195,Mt Airy Wood Preserving Company,1,34.53083,-83.47167
196,American Linen Supply Company (former),1,33.86611,-83.41389
197,Stevens Industries,1,31.77944,-84.45194
198,Marzone/Chevron - NPL Site OU1,1,31.43028,-83.5025
199,Firestone Tire & Rubber Co. (Albany Plant)-NPL Site,1,31.56833,-84.05611
200,Merck & Company,1,31.49722,-84.1325
201,Rummel Fibre Company,1,34.24306,-85.13333
202,U.S. Army - Fort Benning (FBSB-86),1,32.36389,-84.97972
203,Phibro-Tech (fka C P Chemicals),1,33.85306,-84.65056
204,Southern States,1,33.38583,-84.29
205,Douglas & Lomason Company,1,33.39167,-84.82278
206,Macon Naval Ordnance Landfill (Former) - NPL Site,1,32.76917,-83.64694
207,Atlas Chemical Company,1,33.09611,-82.02306
208,Miller Bottom Road Landfill,1,33.74222,-83.92583
209,Speedway SR 324 Landfill,1,33.96889,-83.77333
210,Rabun Apparel (formerly Rabun Mills),1,34.95444,-83.37917
211,Ben Hill County - Joshlyn Road MSWL,1,31.74333,-83.20667
212,T Street Dump,1,31.16556,-81.50833
213,Palmetto Tire Fire,1,33.51,-84.72472
214,"Apollo Industries, Inc.",1,33.83722,-84.50083
215,"CPI Plastics, L.L.C.",1,33.34306,-84.79361
216,Chase Road Property,1,34.51778,-83.51194
217,Laurens County Municipal Solid Waste Landfill,1,32.56083,-82.99306
218,Hightower Road  MSW Landfill - Phase 2,1,34.32972,-84.25639
219,Morgan County Municipal Solid Waste Landfill,1,33.63194,-83.45306
220,Statesboro/Bulloch County Lakeview Rd. Landfill,1,32.48083,-81.78972
221,Clayton Co. SR3- Lovejoy Site #2 MSWL,1,33.43861,-84.30667
222,"Hunter Army Airfield, Fire Training Area",1,32.01444,-81.14417
223,"GIW Industries, Inc.",1,33.45694,-82.18806
224,Mindis Recycling-Shredding Division,1,33.80889,-84.46333
225,Spalding County - Yamacraw Road MSWL,1,33.2575,-84.15944
226,Griffin - Shoal Creek Road Landfill,1,33.25278,-84.37583
227,Lowndes County-State Road 31 MSWL,1,30.67639,-83.3225
228,Barnesville-Goggins Road MSWL,1,33.06583,-84.13778
229,Calhoun - Harris Rd. Phase 4 (L),1,34.49167,-84.99361
230,Greene County - US 278 West MSWL,1,33.61417,-83.10222
231,"Jackson County - SR 82 North, Phase II MSWL",1,34.145,-83.55056
232,Lumpkin Co. - Barlow  Rd. MSWL,1,34.52444,-83.99917
233,Circle K Store #5259,1,33.96472,-84.41472
234,Louisiana Pacific Corp. - Statesboro,1,32.41972,-81.80417
235,"STSE, Inc.",1,31.17472,-81.49111
236,Camden County Vacuna Road LF,1,30.78111,-81.69
237,Coffee County Landfill,1,31.5725,-82.89556
238,Douglas County Landfill - Cedar Mt/Worthan Rd Phase 1,1,33.76556,-84.81083
239,Elbert County Landfill,1,34.135,-82.78083
240,Fannin County Landfill,1,34.89861,-84.34972
241,Haralson County Landfill (US 78 Bremen),1,33.69917,-85.22944
242,Pickens Co.  - Jones Mountain Road Westside MSWLF,1,34.54167,-84.47528
243,Terrell County - U. S. 82 MSWLF,1,31.74139,-84.41944
244,Wilkinson Co. - Hwy. 57 Public Works Camp MSWLF,1,32.83333,-83.26417
245,Durand MSW Landfill,1,32.96583,-84.78056
246,Crawford County - SR 341 / Hopewell Road MSWLF,1,32.77389,-83.99944
