,Site Name,counts,latitude,longitude
245,Butts County - Brownlee Road Landfill,1,33.27417,-83.96917
246,Button Gwinnett Landfill,1,33.92333,-84.04639
247,Crymes Landfill,1,33.87194,-84.18528
248,Walker Road Landfill (formerly 11th Street Landfill),1,32.79889,-83.61056
249,Allied Industrial Park - NPL Site,1,32.77694,-83.64333
250,Polk County Landfill,1,34.00694,-85.16472
251,T Street Dump,1,31.16556,-81.50833
252,"Forstmann & Company, Inc. (TCE spill)",1,32.53472,-82.87972
253,Bumper Distributors of Atlanta,1,33.74333,-84.40889
254,Douglas & Lomason Company,1,33.58361,-85.09417
255,Goldberg Brothers,1,33.43861,-81.99389
256,"Loef Company, Inc. (The)",1,33.98167,-83.3425
257,Baldwin County Sanitary Landfill,1,32.96528,-83.33306
258,Weddington Estate,1,33.76056,-84.505
259,"Concord Fabrics, Inc.",1,33.08722,-83.28472
260,Cork's Fabricare,1,31.22333,-81.47833
261,Pineview Plaza Shopping Center,1,33.58694,-84.47278
262,All Rental,1,33.93361,-84.21889
263,Jack's Cleaners,1,34.04056,-84.4775
264,Rolling Hills Landfill,1,33.61556,-84.41639
265,VIP Cleaners (former),1,33.94139,-84.16417
266,Square D Company (Former),1,33.79278,-84.43
